carID,brand,model,year,transmission,mileage (mi),odometer (km),fuelType,mpg (mi),L/100km,engineSize (L),price (£),price (CAD)
12002, hyundi, Santa Fe, 2017, Semi-Auto, 32467, 52250, Diesel, 42.8, 5.5, 2.2, 18991, 32284.7
12003, vw, Arteon, 2019, Automatic, 1555, 2503, Petrol, 40.4, 5.82, 1.5, 22500, 38250
12005, toyota, Verso, 2003, Automatic, 104000, 167371, Petrol, 34.5, 6.82, 1.8, 2395, 4071.5
12006, ford, Grand C-MAX, 2018, Manual, 5113, 8229, Petrol, 47.9, 4.91, 1, 14000, 23800
12007, bmw, X6, 2019, Automatic, 9010, 14500, Diesel, 34.9, 6.74, 3, 58700, 99790
12008, toyota, Prius, 2016, Automatic, 32853, 52872, Hybrid, 64.2, 3.66, 1.8, 22995, 39091.5
12009, toyota, Supra, 2019, Semi-Auto, 1000, 1609, Petrol, 34.5, 6.82, 3, 49991, 84984.7
12010, toyota, PROACE VERSO, 2019, Automatic, 5, 8, Diesel, 38.7, 6.08, 2, 27998, 47596.6
12011, vw, Caravelle, 2015, Semi-Auto, 55000, 88514, Diesel, 37.2, 6.32, 2, 25995, 44191.5
12012, ford, Mustang, 2020, Manual, 50, 80, Petrol, 23.9, 9.84, 5, 48000, 81600
12014, merc, GLS Class, 2020, Semi-Auto, 3999, 6436, Diesel, 30.4, 7.74, 3, 67480, 114716
12015, ford, Grand C-MAX, 2019, Manual, 7570, 12183, Petrol, 47.9, 4.91, 1, 14450, 24565
12016, bmw, 6 Series, 2016, Semi-Auto, 25596, 41193, Diesel, 49.6, 4.74, 3, 22910, 38947
12018, toyota, Avensis, 2016, Automatic, 20251, 32591, Petrol, 46.3, 5.08, 1.8, 12498, 21246.6
12021, merc, S Class, 2018, Semi-Auto, 12955, 20849, Diesel, 52.3, 4.5, 3, 41632, 70774.4
12025, merc, CLS Class, 2019, Semi-Auto, 3418, 5501, Diesel, 47.9, 4.91, 2.9, 45699, 77688.3
12026, merc, CLS Class, 2016, Automatic, 54195, 87218, Diesel, 49.6, 4.74, 3, 18900, 32130
12030, toyota, Verso, 2017, Manual, 31756, 51106, Diesel, 62.8, 3.75, 1.6, 11498, 19546.6
12031, merc, V Class, 2019, Automatic, 10, 16, Diesel, 45.6, 5.16, 2.2, 50640, 86088
12032, hyundi, I800, 2018, Automatic, 21600, 34762, Diesel, 33.6, 7, 2.5, 16790, 28543
12033, audi, A7, 2014, Semi-Auto, 29319, 47184, Diesel, 54.3, 4.33, 3, 19800, 33660
12035, toyota, Prius, 2019, Automatic, 3650, 5874, Hybrid, 217.3, 1.08, 1.8, 27999, 47598.3
12037, ford, Galaxy, 2018, Semi-Auto, 42164, 67856, Diesel, 52.3, 4.5, 2, 18999, 32298.3
12038, merc, S Class, 2019, Semi-Auto, 83, 134, Diesel, 52.3, 4.5, 3, 49998, 84996.6
12039, hyundi, I40, 2015, Manual, 53730, 86470, Diesel, 65.7, 3.58, 1.7, 8854, 15051.8
12044, bmw, 7 Series, 2016, Semi-Auto, 23600, 37980, Petrol, 41.5, 5.67, 3, 23995, 40791.5
12045, audi, RS5, 2018, Semi-Auto, 28249, 45462, Petrol, 32.5, 7.24, 2.9, 42500, 72250
12051, vw, Arteon, 2019, Automatic, 7865, 12657, Diesel, 50.4, 4.67, 2, 28995, 49291.5
12053, merc, CLA Class, 2016, Automatic, 28916, 46536, Diesel, 67.3, 3.5, 2.1, 20248, 34421.6
12055, toyota, GT86, 2019, Manual, 5123, 8245, Petrol, 33.2, 7.08, 2, 25780, 43826
12057, vw, Scirocco, 2013, Manual, 37940, 61058, Diesel, 62.8, 3.75, 2, 11500, 19550
12058, ford, Edge, 2018, Semi-Auto, 9412, 15147, Diesel, 47.9, 4.91, 2, 24000, 40800
12061, toyota, Verso, 2011, Manual, 74488, 119877, Petrol, 41.5, 5.67, 1.6, 5899, 10028.3
12062, vw, Scirocco, 2017, Semi-Auto, 37975, 61115, Diesel, 58.9, 3.99, 2, 15690, 26673
12063, ford, Edge, 2016, Manual, 52000, 83686, Diesel, 47.9, 4.91, 2, 17995, 30591.5
12065, ford, Tourneo Connect, 2016, Automatic, 36145, 58170, Diesel, 56.6, 4.16, 1.5, 13250, 22525
12066, merc, CLS Class, 2016, Automatic, 17730, 28534, Diesel, 51.4, 4.58, 3, 21591, 36704.7
12067, toyota, Verso, 2013, Manual, 55965, 90067, Petrol, 42.8, 5.5, 1.6, 8490, 14433
12068, ford, Edge, 2019, Semi-Auto, 7999, 12873, Diesel, 37.2, 6.32, 2, 29999, 50998.3
12070, ford, Tourneo Custom, 2019, Manual, 10450, 16818, Diesel, 31.7, 7.42, 2, 29500, 50150
12072, bmw, 6 Series, 2019, Semi-Auto, 1125, 1811, Petrol, 34.5, 6.82, 3, 39999, 67998.3
12074, merc, GL Class, 2017, Automatic, 8442, 13586, Diesel, 56.5, 4.16, 2.1, 26499, 45048.3
12075, merc, SLK, 2015, Automatic, 13000, 20921, Diesel, 56.5, 4.16, 2.1, 17900, 30430
12077, toyota, Land Cruiser, 2017, Semi-Auto, 34580, 55651, Diesel, 38.2, 6.16, 2.8, 36450, 61965
12078, merc, CLS Class, 2017, Semi-Auto, 45870, 73820, Diesel, 57.7, 4.08, 2.1, 20480, 34816
12080, audi, A7, 2017, Semi-Auto, 21134, 34012, Diesel, 52.3, 4.5, 3, 25450, 43265
12085, merc, S Class, 2017, Semi-Auto, 32979, 53074, Hybrid, 100.9, 2.33, 3, 45599, 77518.3
12086, bmw, M4, 2019, Semi-Auto, 101, 163, Petrol, 34, 6.92, 3, 41980, 71366
12087, bmw, i3, 2016, Automatic, 43695, 70320, Hybrid, 470.8, 0.5, 0, 16482, 28019.4
